24	5	9	87	45	42	77
21	8	9	74	52	22	71
18	12	8	53	37	16	66
17	13	8	66	38	28	64
15	8	15	48	57	-9	53
12	14	12	46	47	-1	50
14	8	16	49	53	-4	50
12	10	16	55	51	4	46
12	9	17	46	54	-8	45
12	9	17	35	47	-12	45
10	14	14	36	44	-8	44
10	14	14	38	49	-11	44
11	10	17	45	57	-12	43
9	13	16	44	62	-18	40
10	10	18	29	51	-22	40
9	9	20	41	64	-23	36
8	6	24	33	63	-30	30
5	13	20	30	64	-34	28
24	8	6	79	31	48	80
20	10	8	63	38	25	70
20	9	9	71	39	32	69
20	8	10	64	43	21	68
20	6	12	57	42	15	66
17	10	11	68	45	23	61
15	12	11	46	41	5	57
13	15	10	46	43	3	54
14	10	14	50	57	-7	52
14	10	14	40	48	-8	52
14	9	15	44	50	-6	51
13	10	15	47	54	-7	49
14	6	18	39	51	-12	48
9	15	14	44	44	0	42
10	12	16	45	50	-5	42
11	9	18	45	59	-14	42
10	12	16	37	59	-22	42
8	10	20	41	65	-24	34
8	10	20	36	63	-27	34
5	11	22	30	70	-40	26
28	7	3	97	45	52	91
22	7	9	73	43	30	73
21	6	11	58	43	15	69
19	10	9	51	30	21	67
18	11	9	53	34	19	65
15	13	10	46	35	11	58
16	10	12	57	56	1	58
16	7	15	55	55	0	55
15	10	13	52	53	-1	55
15	8	15	57	49	8	53
14	10	14	63	54	9	52
14	10	14	46	52	-6	52
12	14	12	59	49	10	50
12	8	18	47	54	-7	44
12	8	18	45	62	-17	44
9	11	18	44	57	-13	38
9	9	20	38	68	-30	36
7	12	19	46	74	-28	33
8	7	23	38	70	-32	31
6	6	26	35	77	-42	24
22	13	3	80	37	43	79
22	12	4	59	17	42	78
20	15	3	57	30	27	75
18	13	7	62	34	28	67
16	9	13	46	53	-7	57
15	10	13	51	46	5	55
15	9	14	68	49	19	54
13	13	12	40	45	-5	52
12	15	11	48	54	-6	51
12	13	13	40	46	-6	49
11	14	13	47	50	-3	47
13	7	18	41	42	-1	46
11	13	14	48	54	-6	46
11	10	17	42	47	-5	43
11	9	18	39	51	-12	42
10	12	16	40	63	-23	42
11	8	19	37	64	-27	41
8	12	18	41	56	-15	36
7	14	17	38	52	-14	35
7	9	22	35	69	-34	30
23	9	6	68	33	35	78
23	8	7	73	26	47	77
18	11	9	68	42	26	65
20	3	15	71	43	28	63
